,fakeid,fakeid0,female0,famid0,year0,age0,eduyrs0,famsize0,kfamincly0,tlabincly0,klabincly0,knlabincly0,wage_inc0,hrs_house0,hrs_workly0,race0,college0,employdB0,fulltimely0,lowincly0,fakeid1,female1,famid1,year1,age1,eduyrs1,famsize1,kfamincly1,tlabincly1,klabincly1,knlabincly1,wage_inc1,hrs_house1,hrs_workly1,race1,college1,employdB1,fulltimely1,lowincly1
248,1250,1250,Male,313,2021,40,16,4,183.75629,183.75,110.24999,0.12089656,56.021339,3,37.846153,White,Yes,1,Full-time (1750+ hours),0,1250,Female,313,2021,42,16,4,183.75629,183.75,73.5,0.12089656,44.491524,2,31.76923,White,Yes,1,Part-time (50-1749 hours),0
254,1275,1275,Male,319,2021,33,16,3,230.99998,230.99998,125.99999,0.0,64.285713,3,37.692307,White,Yes,1,Full-time (1750+ hours),0,1275,Female,319,2021,32,16,3,230.99998,230.99998,104.99999,0.0,86.633659,15,23.307692,White,Yes,1,Part-time (50-1749 hours),0
255,1291,1291,Male,323,2021,46,17,4,200.56049,191.09999,117.59999,181.9326,59.03614,1,38.307693,White,Yes,1,Full-time (1750+ hours),0,1291,Female,323,2021,44,17,4,200.56049,191.09999,73.5,181.9326,37.5,8,37.692307,White,Yes,1,Full-time (1750+ hours),0
259,1301,1301,Male,326,2021,53,12,2,29.924999,31.499998,0.0,-30.288439,0.0,4,60.0,White,No,1,Full-time (1750+ hours),0,1301,Female,326,2021,50,12,2,29.924999,31.499998,31.499998,-30.288439,13.124999,10,46.153847,White,No,1,Full-time (1750+ hours),0
262,1324,1324,Male,331,2021,36,12,4,122.84999,122.85,73.5,-0.00014671913,48.999996,3,28.846153,White,No,1,Part-time (50-1749 hours),0,1324,Female,331,2021,33,16,4,122.84999,122.85,49.349998,-0.00014671913,34.270832,8,27.692308,White,Yes,1,Part-time (50-1749 hours),0
265,1338,1338,Male,335,2021,66,16,3,106.1823,92.399994,43.049999,265.04428,23.270269,10,35.576923,Other,Yes,1,Full-time (1750+ hours),0,1338,Female,335,2021,63,16,3,106.1823,92.399994,49.349998,265.04428,26.362179,12,36.0,Other,Yes,1,Full-time (1750+ hours),0
267,1342,1342,Male,336,2021,57,16,4,210.84,209.99998,99.749992,16.15407,46.180553,10,41.53846,White,Yes,1,Full-time (1750+ hours),0,1342,Female,336,2021,46,16,4,210.84,209.99998,110.24999,16.15407,46.518986,15,45.576923,White,Yes,1,Full-time (1750+ hours),0
269,1347,1347,Male,337,2021,51,16,2,228.00749,227.84999,143.84999,3.0288696,46.105766,25,60.0,Black,No,1,Full-time (1750+ hours),0,1347,Female,337,2021,46,16,2,228.00749,227.84999,84.0,3.0288696,35.0,15,46.153847,Black,No,1,Full-time (1750+ hours),0
271,1356,1356,Male,339,2021,49,16,4,199.49998,162.75,0.0,706.73047,0.0,10,35.384617,Other,Yes,1,Full-time (1750+ hours),0,1356,Female,339,2021,48,16,4,199.49998,162.75,162.75,706.73047,90.216179,5,34.692307,Other,Yes,1,Full-time (1750+ hours),0
273,1368,1368,Male,342,2021,29,14,2,108.14999,108.14999,68.25,0.0,37.624035,2,34.884617,White,No,1,Full-time (1750+ hours),0,1368,Female,342,2021,29,14,2,108.14999,108.14999,39.899998,0.0,26.959457,7,28.461538,White,No,1,Part-time (50-1749 hours),0
276,1376,1376,Male,344,2021,38,3,3,81.0075,76.649994,47.249996,83.798187,29.999998,14,30.288462,Other,Unknown,1,Part-time (50-1749 hours),0,1376,Female,344,2021,37,8,3,81.0075,76.649994,29.399998,83.798187,14.518517,20,38.942307,Other,Unknown,1,Full-time (1750+ hours),0
285,1405,1405,Male,352,2021,44,16,4,252.01048,251.99998,73.5,0.20188552,35.336536,20,40.0,White,Yes,1,Full-time (1750+ hours),0,1405,Female,352,2021,45,16,4,252.01048,251.99998,178.49998,0.20188552,68.653847,30,50.0,White,Yes,1,Full-time (1750+ hours),0
286,1411,1411,Male,353,2021,46,16,6,29.777998,29.778,8.7779999,-3.6679783e-05,19.949999,2,8.4615383,Black,Yes,0,Part-time (50-1749 hours),1,1411,Female,353,2021,36,11,6,29.777998,29.778,21.0,-3.6679783e-05,17.5,20,23.076923,Black,No,1,Part-time (50-1749 hours),1
292,1436,1436,Male,359,2021,35,4,5,72.659996,72.449997,36.75,4.038444,14.134615,10,50.0,Unknown,Unknown,1,Full-time (1750+ hours),0,1436,Female,359,2021,35,12,5,72.659996,72.449997,35.699997,4.038444,17.5,20,39.23077,White,No,1,Full-time (1750+ hours),0
293,1439,1439,Male,360,2021,32,14,3,47.879997,44.099998,14.699999,72.692284,15.376569,10,18.384615,White,Yes,1,Part-time (50-1749 hours),0,1439,Female,360,2021,33,17,3,47.879997,44.099998,29.399998,72.692284,22.615383,10,25.0,White,No,1,Part-time (50-1749 hours),0
299,1452,1452,Male,363,2021,36,13,3,145.11,144.89999,91.349998,4.0385904,31.071426,15,56.53846,White,No,1,Full-time (1750+ hours),0,1452,Female,363,2021,28,14,3,145.11,144.89999,53.549999,4.0385904,27.321426,20,37.692307,White,No,1,Full-time (1750+ hours),0
307,1473,1473,Male,369,2021,46,16,4,140.91945,136.18184,56.793446,91.10788,28.510767,9,38.307693,White,Yes,1,Full-time (1750+ hours),0,1473,Female,369,2021,42,16,4,140.91945,136.18184,79.388397,91.10788,43.524342,2,35.076923,White,Yes,1,Full-time (1750+ hours),0
309,1477,1477,Male,370,2021,37,16,4,135.45,130.2,110.24999,100.96154,58.148731,10,36.46154,White,Yes,1,Full-time (1750+ hours),0,1477,Female,370,2021,34,15,4,135.45,130.2,19.949999,100.96154,12.788461,3,30.0,White,Yes,1,Part-time (50-1749 hours),0
